               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.034253,           0.0093329,           0.0038076,             0.97119,                   1,               0.995,             0.80194,            0.015938,           0.0038128,            0.001297,            0.008911,            0.008911,            0.008911
                 112,            0.027587,           0.0086432,           0.0035039,             0.97362,                   1,               0.995,             0.84188,            0.015683,           0.0034838,           0.0013733,           0.0089011,           0.0089011,           0.0089011
                 113,            0.029714,           0.0092072,           0.0038454,             0.94716,                   1,               0.995,             0.80875,            0.014597,           0.0035985,           0.0012936,           0.0088912,           0.0088912,           0.0088912
                 114,            0.033956,           0.0097652,           0.0032224,             0.97033,                   1,               0.995,             0.78091,            0.018726,           0.0039437,           0.0012615,           0.0088813,           0.0088813,           0.0088813
                 115,            0.029301,           0.0077539,           0.0026696,             0.97426,                   1,               0.995,             0.77244,            0.014264,           0.0037234,           0.0011818,           0.0088714,           0.0088714,           0.0088714
                 116,            0.033149,           0.0093294,           0.0027802,             0.93851,                   1,               0.995,             0.72185,            0.020777,           0.0037501,           0.0011711,           0.0088615,           0.0088615,           0.0088615
                 117,            0.039877,            0.012287,           0.0045018,             0.96043,                   1,               0.995,             0.70359,            0.014908,           0.0035028,           0.0011951,           0.0088516,           0.0088516,           0.0088516
                 118,            0.032587,            0.011841,           0.0040321,             0.95104,                   1,               0.995,             0.83686,            0.018156,           0.0035057,           0.0011555,           0.0088417,           0.0088417,           0.0088417
                 119,            0.034455,            0.010267,           0.0047209,             0.95118,                   1,               0.995,             0.86827,            0.015297,           0.0033381,           0.0011173,           0.0088318,           0.0088318,           0.0088318
                 120,            0.032733,            0.009409,             0.00279,             0.95138,                   1,               0.995,             0.83689,            0.014039,           0.0030298,           0.0011158,           0.0088219,           0.0088219,           0.0088219
                 121,            0.029174,           0.0086362,           0.0028099,             0.95411,                   1,               0.995,             0.68706,            0.019509,           0.0032532,           0.0011007,            0.008812,            0.008812,            0.008812
                 122,             0.03389,           0.0081716,           0.0031794,             0.95085,                   1,               0.995,             0.81406,            0.014032,           0.0028911,           0.0010359,           0.0088021,           0.0088021,           0.0088021
                 123,            0.029675,           0.0095977,           0.0027659,             0.95612,                   1,               0.995,               0.793,            0.018185,           0.0030465,           0.0010689,           0.0087922,           0.0087922,           0.0087922
                 124,            0.030153,            0.010396,           0.0029274,             0.95929,                   1,               0.995,             0.86966,            0.014436,           0.0028543,           0.0010426,           0.0087823,           0.0087823,           0.0087823
                 125,            0.028644,            0.010117,           0.0026921,             0.96162,                   1,               0.995,               0.808,            0.019883,           0.0029163,           0.0011065,           0.0087724,           0.0087724,           0.0087724
                 126,            0.027612,           0.0081651,           0.0043074,             0.96754,                   1,               0.995,             0.78674,            0.014697,           0.0029089,           0.0011225,           0.0087625,           0.0087625,           0.0087625
                 127,            0.028408,           0.0090444,           0.0028496,             0.97434,                   1,               0.995,             0.81743,            0.016077,           0.0028319,           0.0011433,           0.0087526,           0.0087526,           0.0087526
                 128,            0.030437,           0.0091851,           0.0020096,             0.86529,                   1,               0.995,              0.6965,            0.015773,           0.0028613,           0.0010653,           0.0087427,           0.0087427,           0.0087427
                 129,            0.027472,           0.0091742,            0.002249,             0.97078,                   1,               0.995,             0.74847,            0.017688,           0.0031862,           0.0010967,           0.0087328,           0.0087328,           0.0087328
                 130,            0.029217,           0.0095681,           0.0052915,             0.96521,                   1,               0.995,             0.79317,            0.016943,           0.0030801,           0.0010666,           0.0087229,           0.0087229,           0.0087229
                 131,            0.030489,            0.010132,           0.0018466,             0.82654,                   1,               0.995,             0.66506,            0.020697,           0.0035112,           0.0011139,            0.008713,            0.008713,            0.008713
                 132,            0.040826,            0.010051,           0.0050587,             0.84023,                   1,               0.995,             0.69442,            0.016134,           0.0037382,           0.0011866,           0.0087031,           0.0087031,           0.0087031
                 133,            0.026854,           0.0091843,           0.0026648,             0.81784,             0.99379,               0.995,             0.86477,            0.017961,           0.0038717,           0.0012817,           0.0086932,           0.0086932,           0.0086932
                 134,            0.029437,           0.0094969,            0.002767,             0.89985,                   1,               0.995,             0.73101,            0.017016,           0.0036104,           0.0012058,           0.0086833,           0.0086833,           0.0086833
                 135,            0.025658,            0.009676,           0.0025247,             0.89274,                   1,               0.995,             0.80762,             0.01569,           0.0036848,            0.001178,           0.0086734,           0.0086734,           0.0086734
                 136,            0.024233,           0.0091846,           0.0028755,             0.91174,                   1,               0.995,             0.75437,            0.014596,           0.0037234,            0.001202,           0.0086635,           0.0086635,           0.0086635
                 137,            0.028152,            0.008462,           0.0036398,              0.7902,                   1,               0.995,             0.80729,            0.019409,           0.0037317,           0.0012203,           0.0086536,           0.0086536,           0.0086536
                 138,            0.029319,           0.0078854,           0.0015409,             0.80575,                   1,               0.995,             0.78011,            0.015458,           0.0035188,           0.0011768,           0.0086437,           0.0086437,           0.0086437
                 139,            0.024166,            0.008716,           0.0022765,             0.93463,                   1,               0.995,             0.84491,            0.015576,            0.003649,           0.0012981,           0.0086338,           0.0086338,           0.0086338
                 140,            0.030299,           0.0090414,           0.0028586,             0.95537,                   1,               0.995,             0.78296,            0.013595,            0.003397,           0.0012295,           0.0086239,           0.0086239,           0.0086239
                 141,            0.032619,           0.0093455,           0.0021162,             0.95862,                   1,               0.995,             0.84749,            0.016182,           0.0033636,           0.0013615,            0.008614,            0.008614,            0.008614
                 142,            0.031522,            0.007677,           0.0022053,             0.96096,                   1,               0.995,             0.79436,            0.012697,            0.003267,           0.0013672,           0.0086041,           0.0086041,           0.0086041
                 143,             0.02659,           0.0088513,            0.011944,             0.95911,                   1,               0.995,              0.7834,            0.013237,           0.0032721,           0.0014301,           0.0085942,           0.0085942,           0.0085942
                 144,            0.024416,           0.0082299,           0.0024091,             0.94375,                   1,               0.995,             0.80719,            0.016963,           0.0036774,           0.0015915,           0.0085843,           0.0085843,           0.0085843
                 145,            0.029008,           0.0088923,           0.0022507,             0.92568,                   1,               0.995,             0.66841,            0.015697,            0.003747,           0.0016342,           0.0085744,           0.0085744,           0.0085744
                 146,            0.024545,           0.0085628,             0.00183,             0.93715,                   1,               0.995,             0.81851,            0.015638,           0.0037451,           0.0017227,           0.0085645,           0.0085645,           0.0085645
                 147,            0.028443,           0.0088572,           0.0025503,             0.93034,                   1,               0.995,             0.75329,            0.015402,           0.0033271,           0.0015236,           0.0085546,           0.0085546,           0.0085546
                 148,            0.025571,           0.0077094,           0.0017588,             0.93974,                   1,               0.995,             0.78501,            0.016878,           0.0031815,           0.0014561,           0.0085447,           0.0085447,           0.0085447
                 149,            0.029579,           0.0089777,            0.006233,              0.9349,                   1,               0.995,             0.85578,            0.014059,           0.0032907,           0.0014957,           0.0085348,           0.0085348,           0.0085348
                 150,             0.03592,            0.010433,           0.0041464,             0.95257,                   1,               0.995,             0.67919,            0.021816,           0.0032921,           0.0013771,           0.0085249,           0.0085249,           0.0085249
                 151,            0.026917,           0.0091137,            0.001806,             0.95658,                   1,               0.995,             0.86521,            0.012741,           0.0031359,           0.0012836,            0.008515,            0.008515,            0.008515
                 152,            0.025613,              0.0083,            0.004143,             0.96084,                   1,               0.995,              0.8797,            0.013215,            0.003145,           0.0010851,           0.0085051,           0.0085051,           0.0085051
                 153,            0.033389,           0.0091308,           0.0033869,             0.88764,                   1,              0.9675,             0.74298,            0.018354,           0.0030172,          0.00098553,           0.0084952,           0.0084952,           0.0084952
                 154,            0.024617,           0.0084887,            0.003392,             0.96881,                   1,               0.995,             0.73145,            0.015447,           0.0029352,          0.00097065,           0.0084853,           0.0084853,           0.0084853
                 155,            0.028668,           0.0092365,           0.0026726,             0.96257,                   1,               0.995,             0.78885,            0.016171,           0.0030231,          0.00095234,           0.0084754,           0.0084754,           0.0084754
                 156,            0.028178,           0.0099801,           0.0027898,             0.97182,                   1,               0.995,               0.828,            0.013998,           0.0030112,          0.00093861,           0.0084655,           0.0084655,           0.0084655
