               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.025074,           0.0079419,           0.0019404,             0.95777,                   1,               0.995,             0.82626,            0.016173,           0.0029683,           0.0010651,            0.007624,            0.007624,            0.007624
                 122,            0.031166,            0.007537,           0.0031883,             0.95911,                   1,               0.995,              0.7918,            0.015592,           0.0031557,           0.0010471,           0.0076042,           0.0076042,           0.0076042
                 123,            0.026844,           0.0091436,           0.0017987,             0.95866,                   1,               0.995,             0.72056,            0.017319,            0.003233,           0.0010536,           0.0075844,           0.0075844,           0.0075844
                 124,            0.029384,           0.0090937,           0.0023125,             0.96215,                   1,               0.995,             0.83079,            0.014205,           0.0030634,           0.0011162,           0.0075646,           0.0075646,           0.0075646
                 125,            0.026973,           0.0086375,           0.0025666,             0.96921,                   1,               0.995,             0.67105,            0.017811,           0.0031173,           0.0011126,           0.0075448,           0.0075448,           0.0075448
                 126,            0.026964,           0.0070534,            0.002708,             0.95901,                   1,               0.995,             0.77051,            0.016284,           0.0027936,           0.0011229,            0.007525,            0.007525,            0.007525
                 127,            0.024753,           0.0081414,           0.0023319,             0.97068,                   1,               0.995,             0.86976,            0.013731,           0.0029757,           0.0011126,           0.0075052,           0.0075052,           0.0075052
                 128,            0.029711,           0.0083693,           0.0015958,             0.97104,                   1,               0.995,             0.76404,            0.015912,           0.0029724,           0.0011276,           0.0074854,           0.0074854,           0.0074854
                 129,            0.028751,           0.0087438,           0.0062203,             0.95019,                   1,               0.995,             0.80302,            0.017359,           0.0031962,           0.0012379,           0.0074656,           0.0074656,           0.0074656
                 130,            0.031419,           0.0088209,           0.0023845,             0.92181,                   1,               0.995,             0.86924,            0.013451,           0.0036399,            0.001469,           0.0074458,           0.0074458,           0.0074458
                 131,            0.027157,           0.0092165,           0.0019012,              0.8939,                   1,               0.995,             0.86744,             0.01456,           0.0038519,           0.0016117,            0.007426,            0.007426,            0.007426
                 132,             0.03581,            0.008884,           0.0022619,              0.9354,                   1,               0.995,             0.72862,            0.015217,           0.0039907,           0.0015614,           0.0074062,           0.0074062,           0.0074062
                 133,            0.026899,           0.0079861,           0.0017181,             0.93304,                   1,               0.995,             0.75751,            0.017327,           0.0036354,           0.0015778,           0.0073864,           0.0073864,           0.0073864
                 134,            0.029375,           0.0078205,             0.00208,             0.95345,                   1,               0.995,             0.83591,            0.015226,           0.0034666,           0.0015182,           0.0073666,           0.0073666,           0.0073666
                 135,            0.024954,           0.0090498,           0.0038368,             0.94061,                   1,               0.995,             0.86268,            0.012781,           0.0032699,           0.0015667,           0.0073468,           0.0073468,           0.0073468
                 136,            0.021067,           0.0082338,           0.0017363,             0.95039,                   1,               0.995,              0.7085,            0.016893,           0.0036952,            0.001384,            0.007327,            0.007327,            0.007327
                 137,            0.031603,           0.0079072,           0.0029511,             0.96254,                   1,               0.995,             0.81397,             0.01557,           0.0035412,           0.0013241,           0.0073072,           0.0073072,           0.0073072
                 138,            0.022687,           0.0070934,           0.0022213,             0.96084,                   1,               0.995,             0.78091,            0.013978,           0.0033429,           0.0012093,           0.0072874,           0.0072874,           0.0072874
                 139,            0.026452,           0.0076268,           0.0017859,             0.96595,                   1,               0.995,              0.8257,            0.012748,           0.0033877,           0.0011703,           0.0072676,           0.0072676,           0.0072676
                 140,            0.030056,           0.0084062,           0.0017146,             0.96274,                   1,               0.995,              0.7919,            0.018017,           0.0033627,           0.0010481,           0.0072478,           0.0072478,           0.0072478
                 141,            0.030715,           0.0083187,           0.0018512,             0.96238,                   1,               0.995,             0.80312,            0.015497,           0.0032175,           0.0010168,            0.007228,            0.007228,            0.007228
                 142,            0.027252,           0.0069884,           0.0022474,             0.96528,                   1,               0.995,             0.80249,            0.012758,           0.0028474,          0.00096264,           0.0072082,           0.0072082,           0.0072082
                 143,             0.02495,           0.0080993,           0.0042983,             0.95704,                   1,               0.995,             0.77592,            0.012854,           0.0026536,          0.00097294,           0.0071884,           0.0071884,           0.0071884
                 144,            0.024383,            0.007674,           0.0023011,             0.95849,                   1,               0.995,             0.79124,            0.015008,            0.002661,          0.00095901,           0.0071686,           0.0071686,           0.0071686
                 145,            0.024028,           0.0081576,           0.0016428,             0.95661,                   1,               0.995,             0.84494,            0.014547,           0.0025721,          0.00093822,           0.0071488,           0.0071488,           0.0071488
                 146,            0.021448,            0.007537,           0.0015103,             0.95361,                   1,               0.995,             0.80195,            0.015175,           0.0026069,          0.00094147,            0.007129,            0.007129,            0.007129
                 147,            0.023289,            0.008021,           0.0025467,             0.95862,                   1,               0.995,             0.85776,            0.011717,            0.002641,          0.00093021,           0.0071092,           0.0071092,           0.0071092
                 148,            0.021799,           0.0067036,           0.0016692,             0.95632,                   1,               0.995,             0.84802,            0.017681,           0.0025873,          0.00094624,           0.0070894,           0.0070894,           0.0070894
                 149,            0.029184,           0.0079186,           0.0023681,             0.96177,                   1,               0.995,             0.85172,             0.01043,           0.0025935,          0.00094051,           0.0070696,           0.0070696,           0.0070696
                 150,            0.030656,           0.0088675,           0.0023629,             0.96395,                   1,               0.995,             0.79917,            0.021314,           0.0027242,          0.00094299,           0.0070498,           0.0070498,           0.0070498
                 151,            0.025221,           0.0084116,           0.0015519,             0.96215,                   1,               0.995,             0.86233,            0.011553,           0.0025437,          0.00093479,             0.00703,             0.00703,             0.00703
                 152,            0.023919,           0.0068983,           0.0026035,             0.95993,                   1,               0.995,             0.79792,            0.015722,           0.0027187,           0.0008997,           0.0070102,           0.0070102,           0.0070102
                 153,            0.025592,           0.0086595,           0.0022788,             0.95882,                   1,               0.995,              0.8503,            0.010867,           0.0028059,          0.00090294,           0.0069904,           0.0069904,           0.0069904
                 154,            0.024626,            0.007612,           0.0026881,             0.95443,                   1,               0.995,              0.7597,            0.015901,           0.0030575,          0.00092201,           0.0069706,           0.0069706,           0.0069706
                 155,            0.022868,           0.0084141,           0.0021279,             0.95392,                   1,               0.995,             0.82554,            0.011578,           0.0030556,          0.00092449,           0.0069508,           0.0069508,           0.0069508
                 156,            0.026532,           0.0091151,           0.0018249,             0.95178,                   1,               0.995,             0.73133,            0.020203,           0.0033045,           0.0009594,            0.006931,            0.006931,            0.006931
